timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-08 15:00:06+00:00,3920.1246784849,-5543.4176955393,-692.4669418043,-0.3526544598,-1.1843122579,7.5456406553,-0.2695328155,-0.6136088595,-0.3824331005,0.63606694
2026-08-08 15:00:16+00:00,3916.3520766086,-5554.9126199074,-616.9683955563,-0.4018561785,-1.1146307359,7.5538849481,-0.2716842335,-0.6171673465,-0.3809118025,0.632612316
2026-08-08 15:00:26+00:00,3912.0876932165,-5565.7100070758,-541.3921561305,-0.4510094808,-1.0448063559,7.5611783212,-0.2738084995,-0.620695815,-0.3793900535,0.629149265
2026-08-08 15:00:36+00:00,3907.3320422138,-5575.8084731128,-465.7477528238,-0.500108101,-0.9748479998,7.5675197666,-0.2759318435,-0.6242035585,-0.377850327,0.625668175
2026-08-08 15:00:46+00:00,3902.0857058738,-5585.2067200971,-390.04469537,-0.5491458017,-0.9047645418,7.572908402,-0.2780243845,-0.6276851055,-0.3763196705,0.622171484
2026-08-08 15:00:56+00:00,3896.3493211977,-5593.9035444878,-314.2925067659,-0.5981163466,-0.8345648771,7.5773434695,-0.280125691,-0.6311745155,-0.3747519395,0.6186350395
2026-08-08 15:01:06+00:00,3890.1235907735,-5601.8978280476,-238.5007544942,-0.6470134817,-0.7642579538,7.5808243342,-0.282230826,-0.634652846,-0.37318582,0.615055989
2026-08-08 15:01:16+00:00,3883.4092825318,-5609.1885412529,-162.6789556209,-0.6958310017,-0.6938526834,7.5833504872,-0.2843112995,-0.638097293,-0.371581633,0.6114949055
2026-08-08 15:01:26+00:00,3876.2072216381,-5615.7747465716,-86.8366665477,-0.7445626855,-0.6233580222,7.5849215441,-0.286378778,-0.641480448,-0.370012924,0.6079313005
2026-08-08 15:01:36+00:00,3868.5182966314,-5621.6555960878,-10.9834546192,-0.7932023163,-0.5527829481,7.5855372458,-0.28845027,-0.644888208,-0.3683934245,0.6043193905
2026-08-08 15:01:46+00:00,3860.3434622598,-5626.8303273949,64.8711425764,-0.8417437129,-0.4821364215,7.5851974569,-0.290520865,-0.648258444,-0.366758804,0.600705083
2026-08-08 15:01:56+00:00,3851.6837293045,-5631.2982726461,140.7175681462,-0.8901806914,-0.4114274284,7.583902168,-0.320205479,-0.646296637,-0.280619314,0.6332629065
2026-08-08 15:02:06+00:00,3842.5401719478,-5635.0588538774,216.5462553205,-0.9385070732,-0.340664975,7.5816514959,-0.3954367195,-0.452717555,0.2142804645,0.7699094095
2026-08-08 15:02:16+00:00,3832.9139297595,-5638.1115778582,292.3476680516,-0.986716716,-0.2698580492,7.5784456792,-0.4090340555,-0.0794152295,0.629424947,0.655902888
2026-08-08 15:02:26+00:00,3822.8061987562,-5640.4560465551,368.1122520744,-1.0348034757,-0.1990156627,7.5742850838,-0.408245824,0.107616921,0.7812519115,0.4597819005
