timestamp,px,py,pz,vx,vy,vz,q0,q1,q2,q3
2026-08-10 15:00:02+00:00,871.0896539873,276.2628195902,-6768.7340200603,4.5038906574,-6.1492113768,0.332887953,0.046980337,-0.0478006225,-0.4500085235,0.89050563
2026-08-10 15:00:12+00:00,916.0735934599,214.7545920723,-6764.9829599415,4.4927744365,-6.1522657588,0.4173126881,0.0444509715,-0.0527723195,-0.450262619,0.890226245
2026-08-10 15:00:22+00:00,960.9435661111,153.2196531449,-6760.3878894726,4.4810989728,-6.1545548317,0.5016876388,0.04195107,-0.057731119,-0.450504126,0.889917557
2026-08-10 15:00:32+00:00,1005.6939955181,91.6656504265,-6754.9493569265,4.4688656715,-6.1560782685,0.5860024272,0.039400654,-0.062694252,-0.4507218185,0.889588029
2026-08-10 15:00:42+00:00,1050.3193113253,30.1002378278,-6748.6680158292,4.4560759982,-6.1568358384,0.6702466725,0.036877547,-0.067705736,-0.450918024,0.889229394
2026-08-10 15:00:52+00:00,1094.8139474166,-31.4689141219,-6741.5446254631,4.4427314877,-6.156827402,0.7544099823,0.034381295,-0.072643772,-0.4511319285,0.888831138
2026-08-10 15:01:02+00:00,1139.1723725286,-93.0341521018,-6733.5800451608,4.4288337451,-6.1560529063,0.8384819992,0.03185342,-0.0776439085,-0.4513183575,0.8884078585
2026-08-10 15:01:12+00:00,1183.3890632758,-154.5878194055,-6724.7752395526,4.4143844356,-6.1545123951,0.9224523666,0.0293424745,-0.0825634605,-0.4514841385,0.887966422
2026-08-10 15:01:22+00:00,1227.4585025919,-216.1222454462,-6715.1312793207,4.3993852935,-6.1522060038,1.0063107191,0.026817846,-0.087537303,-0.4516353655,0.8874928285
2026-08-10 15:01:32+00:00,1271.3752103479,-277.6297794355,-6704.6493340848,4.3838381223,-6.149133954,1.0900467306,0.0242799295,-0.09250283,-0.4517764035,0.8869903
2026-08-10 15:01:42+00:00,1315.1337160988,-339.1027701095,-6693.3306787051,4.3677447855,-6.1452965643,1.1736500782,0.0217625085,-0.097436515,-0.4519035045,0.8864624875
2026-08-10 15:01:52+00:00,1358.7285577917,-400.5335550768,-6681.1766942881,4.3511072157,-6.1406942453,1.2571104346,0.019229863,-0.1024144755,-0.4520229495,0.885898832
2026-08-10 15:02:02+00:00,1402.1543123659,-461.9144943242,-6668.1888596617,4.3339274132,-6.1353274933,1.3404175144,0.016738138,-0.1073283865,-0.452126162,0.885314851
2026-08-10 15:02:12+00:00,1445.4055682432,-523.2379502763,-6654.3687587346,4.3162074384,-6.1291969019,1.4235610394,0.0141724295,-0.112291588,-0.4522013675,0.884705411
2026-08-10 15:02:22+00:00,1488.4769243047,-584.4962769946,-6639.7180817545,4.2979494202,-6.122303157,1.5065307299,0.011661949,-0.1172047705,-0.452273226,0.8840678535
2026-08-10 15:02:32+00:00,1531.3630204446,-645.6818534875,-6624.2386153714,4.2791555545,-6.1146470296,1.589316352,0.0091209665,-0.122207769,-0.4523207515,0.883395725
2026-08-10 15:02:42+00:00,1574.0585098312,-706.7870641152,-6607.932251053,4.2598280968,-6.1062293882,1.6719076821,0.006606661,-0.127084577,-0.4523931095,0.882692663
2026-08-10 15:02:52+00:00,1616.5580581504,-767.8042876492,-6590.8009865981,4.2399693709,-6.0970511937,1.7542944988,0.0040642495,-0.1320295185,-0.4523995625,0.8819786415
2026-08-10 15:03:02+00:00,1658.856374088,-828.7259303628,-6572.8469147836,4.2195817663,-6.087113492,1.8364666295,0.001582753,-0.1369114455,-0.452423724,0.881229553
2026-08-10 15:03:12+00:00,1700.9481813856,-889.5444067933,-6554.0722328393,4.1986677316,-6.076417426,1.9184139159,-0.000986747,-0.141909698,-0.452416847,0.8804428775
2026-08-10 15:03:22+00:00,1742.8282183518,-950.2521286735,-6534.4792442151,4.1772297838,-6.0649642314,2.0001262049,-0.0034730295,-0.1467328005,-0.45242658,0.879640616
2026-08-10 15:03:32+00:00,1784.4912682444,-1010.8415377753,-6514.0703458122,4.1552705041,-6.0527552284,2.0815933958,-0.00604318,-0.151729879,-0.4523559195,0.87881491
2026-08-10 15:03:42+00:00,1825.9321311491,-1071.3050870444,-6492.8480385151,4.1327925324,-6.039791834,2.1628054056,-0.0085546775,-0.1566163785,-0.452334367,0.877947463
2026-08-10 15:03:52+00:00,1867.1456237566,-1131.6352294119,-6470.8149292165,4.1097985767,-6.0260755583,2.2437521598,-0.011078578,-0.1614856195,-0.4522808605,0.877064241
2026-08-10 15:04:02+00:00,1908.1266096172,-1191.8244503679,-6447.9737166287,4.0862914076,-6.0116079949,2.3244236403,-0.0136182455,-0.1664229835,-0.452198234,0.8761476425
2026-08-10 15:04:12+00:00,1948.8699708691,-1251.8652494795,-6424.3272028747,4.0622738545,-5.9963908344,2.4048098495,-0.0161381185,-0.1713155165,-0.452110146,0.875206816
2026-08-10 15:04:22+00:00,1989.370608282,-1311.7501290949,-6399.8782957708,4.037748814,-5.9804258602,2.4849008021,-0.0186762275,-0.176200694,-0.452015031,0.8742350515
2026-08-10 15:04:32+00:00,2029.6234713534,-1371.4716266189,-6374.6299932175,4.0127192443,-5.9637149389,2.5646865724,-0.021198698,-0.181089655,-0.4519071425,0.8732336955
2026-08-10 15:04:42+00:00,2069.6235299165,-1431.0222964294,-6348.5853958491,3.9871881614,-5.9462600335,2.644157259,-0.023704539,-0.1859168515,-0.451778363,0.872220918
2026-08-10 15:04:52+00:00,2109.3657744484,-1490.3946984845,-6321.7477095757,3.9611586485,-5.9280632001,2.7233029761,-0.026238397,-0.1908352965,-0.4516357025,0.871159359
2026-08-10 15:05:02+00:00,2148.8452459785,-1549.5814302718,-6294.1202285522,3.9346338486,-5.9091265769,2.8021139008,-0.028759673,-0.195682166,-0.4514968805,0.8700758235
2026-08-10 15:05:12+00:00,2188.057007605,-1608.5751091383,-6265.7063488861,3.9076169623,-5.8894523983,2.8805802382,-0.031278368,-0.2005312295,-0.451307567,0.868982376
